Model Outputs
200
,,HRI_Hitesh_Lower:LAbsAnkleAngle,,,HRI_Hitesh_Lower:LAnkleAngles,,,HRI_Hitesh_Lower:LAnkleForce,,,HRI_Hitesh_Lower:LAnkleMoment,,,HRI_Hitesh_Lower:LAnklePower,,,HRI_Hitesh_Lower:LFE,,,,,,,,,HRI_Hitesh_Lower:LFO,,,,,,,,,HRI_Hitesh_Lower:LFootProgressAngles,,,HRI_Hitesh_Lower:LHipAngles,,,HRI_Hitesh_Lower:LHipForce,,,HRI_Hitesh_Lower:LHipMoment,,,HRI_Hitesh_Lower:LHipPower,,,HRI_Hitesh_Lower:LKneeAngles,,,HRI_Hitesh_Lower:LKneeForce,,,HRI_Hitesh_Lower:LKneeMoment,,,HRI_Hitesh_Lower:LKneePower,,,HRI_Hitesh_Lower:LPelvisAngles,,,HRI_Hitesh_Lower:LTI,,,,,,,,,HRI_Hitesh_Lower:LTO,,,,,,,,,HRI_Hitesh_Lower:PEL,,,,,,,,,HRI_Hitesh_Lower:RAbsAnkleAngle,,,HRI_Hitesh_Lower:RAnkleAngles,,,HRI_Hitesh_Lower:RAnkleForce,,,HRI_Hitesh_Lower:RAnkleMoment,,,HRI_Hitesh_Lower:RAnklePower,,,HRI_Hitesh_Lower:RFE,,,,,,,,,HRI_Hitesh_Lower:RFO,,,,,,,,,HRI_Hitesh_Lower:RFootProgressAngles,,,HRI_Hitesh_Lower:RHipAngles,,,HRI_Hitesh_Lower:RHipForce,,,HRI_Hitesh_Lower:RHipMoment,,,HRI_Hitesh_Lower:RHipPower,,,HRI_Hitesh_Lower:RKneeAngles,,,HRI_Hitesh_Lower:RKneeForce,,,HRI_Hitesh_Lower:RKneeMoment,,,HRI_Hitesh_Lower:RKneePower,,,HRI_Hitesh_Lower:RPelvisAngles,,,HRI_Hitesh_Lower:RTI,,,,,,,,,HRI_Hitesh_Lower:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
1756,0,6.89122,0,0,7.42218,7.99286,-21.7485,-0.142624,-0.00250656,0.00224718,-13.4765,-2.26226e-15,-0.239636,0,0,0.0031693,21.3247,-27.1171,246.676,-135.813,368.298,513.833,353.162,353.162,353.162,-51.9178,-76.3275,-52.588,-137.077,289.476,86.9627,192.72,192.72,192.72,-87.9003,1.60752,-22.3484,-3.98736,-3.16861,20.5857,0.0370976,-0.356677,1.53919,-22.1144,-93.7521,-1.20727,0,0,-0.0379209,3.16222,-2.64724,-21.006,-0.0433373,-0.0919819,0.592598,4.3647,-14.8575,-1.45633,0,0,0.000728753,-0.229719,-15.6659,-0.869923,-2.37042,11.6296,-89.5305,-200.381,410.852,104.312,372.722,372.722,372.722,-51.9178,-76.3275,-52.588,-112.65,230.101,84.7859,64.2399,64.2399,64.2399,-12.3594,12.188,-88.5565,-142.908,343.7,881.243,173.755,173.755,173.755,6.24891,0,0,9.17087,6.81805,-46.9255,-0.0718609,-0.0259767,-0.0739007,-7.4228,-7.38226e-16,2.82112,0,0,-0.000210716,-70.522,-4.39559,-30.1988,-306.716,14.8678,779.904,359.67,359.67,359.67,108.619,53.9106,204.294,-294.865,119.417,482.878,187.129,187.129,187.129,-48.8243,13.6586,-24.3591,66.3377,-7.68477,49.2151,0.328734,-1.07959,0.604803,-40.0166,166.129,-3.93144,0,0,0.191585,149.023,63.2029,87.6734,-0.307541,0.184641,0.24983,-44.7326,-23.885,2.79247,0,0,0.0581634,-0.229719,15.6659,0.869923,45.013,11.0458,-68.3308,-231.899,198.059,571.211,243.281,243.281,243.281,108.619,53.9106,204.294,-320.592,76.646,445.467,62.3765,62.3765,62.3765
1757,0,6.95961,0,0,7.49602,7.99335,-21.7505,-0.142569,-0.00262778,0.00343207,-13.4162,-7.58052e-16,-0.250709,0,0,0.00301674,21.2963,-27.0571,246.778,-135.907,368.086,513.784,353.267,353.267,353.267,-51.9083,-76.3684,-52.5378,-137.064,289.549,86.9456,192.72,192.72,192.72,-87.9367,1.60118,-22.3931,-4.02192,-3.28534,20.5184,0.0391685,-0.35509,1.54006,-23.8491,-93.1309,-1.25326,0,0,-0.0372964,3.20364,-2.60527,-20.9541,-0.0411665,-0.0919504,0.593385,5.24353,-14.6066,-1.45525,0,0,0.000448567,-0.295165,-15.7495,-0.913379,-2.33837,11.6533,-89.4953,-200.465,410.886,104.215,372.793,372.793,372.793,-51.9083,-76.3684,-52.5378,-112.591,230.192,84.8072,64.2399,64.2399,64.2399,-12.47,12.2072,-88.516,-143.128,343.6,881.472,173.755,173.755,173.755,6.32647,0,0,9.24695,6.76634,-46.7052,-0.0699352,-0.0254124,-0.07301,-7.14197,1.47645e-15,2.81498,0,0,-0.000102767,-70.9212,-4.48512,-30.149,-306.767,14.0119,782.684,359.461,359.461,359.461,108.502,54.2197,204.046,-294.368,117.979,485.543,187.129,187.129,187.129,-48.963,13.816,-24.3536,66.6597,-7.76604,49.1436,0.338061,-1.06728,0.587766,-42.7637,161.731,-3.58044,0,0,0.182912,149.615,63.0023,87.9389,-0.299997,0.184015,0.244612,-44.2777,-23.7459,2.79677,0,0,0.0554432,-0.295165,15.7495,0.913379,44.9826,10.9816,-68.541,-231.451,196.836,573.719,243.375,243.375,243.375,108.502,54.2196,204.046,-320.09,75.1159,448.234,62.3765,62.3765,62.3765
1758,0,7.02415,0,0,7.56549,7.99292,-21.7487,-0.142515,-0.00274052,0.00424232,-13.3633,-4.2138e-16,-0.268364,0,0,0.00284476,21.271,-26.9974,246.883,-136.006,367.871,513.735,353.373,353.373,353.373,-51.8965,-76.4087,-52.4894,-137.046,289.611,86.9277,192.72,192.72,192.72,-87.9709,1.59392,-22.4381,-4.05462,-3.39901,20.4483,0.0393971,-0.353771,1.54086,-24.7227,-92.8609,-1.28197,0,0,-0.0364515,3.2451,-2.56565,-20.9043,-0.040151,-0.0919941,0.594053,5.76821,-14.4369,-1.46167,0,0,0.000235297,-0.35961,-15.8309,-0.955968,-2.30619,11.6747,-89.4557,-200.544,410.908,104.121,372.859,372.859,372.859,-51.8965,-76.4087,-52.4894,-112.527,230.271,84.8254,64.2399,64.2399,64.2399,-12.5782,12.2253,-88.4764,-143.347,343.504,881.697,173.755,173.755,173.755,6.40697,0,0,9.32876,6.71764,-46.496,-0.067897,-0.0249016,-0.0718189,-6.84675,-1.2919e-15,2.80493,0,0,-1.60603e-05,-71.3084,-4.56851,-30.0953,-306.822,13.1978,785.388,359.259,359.259,359.259,108.392,54.5265,203.791,-293.887,116.579,488.141,187.129,187.129,187.129,-49.105,13.9729,-24.3517,66.9712,-7.8458,49.0802,0.345443,-1.05216,0.570934,-45.0218,156.807,-3.33414,0,0,0.173357,150.194,62.8122,88.2044,-0.291945,0.182492,0.238727,-43.7256,-23.4313,2.79657,0,0,0.0525594,-0.35961,15.8309,0.955968,44.9519,10.9141,-68.7423,-231.01,195.652,576.151,243.468,243.468,243.468,108.392,54.5265,203.791,-319.607,73.623,450.938,62.3765,62.3765,62.3765
1759,0,7.08432,0,0,7.63006,7.99152,-21.7429,-0.142447,-0.00287128,0.00475969,-13.3164,-1.34452e-15,-0.296209,0,0,0.00265702,21.2493,-26.9386,246.989,-136.109,367.655,513.687,353.478,353.478,353.478,-51.8821,-76.4481,-52.4432,-137.023,289.658,86.9088,192.72,192.72,192.72,-88.0026,1.58565,-22.4831,-4.08544,-3.5093,20.3754,0.0392574,-0.352976,1.54201,-25.1542,-92.9624,-1.30201,0,0,-0.0355104,3.28652,-2.52872,-20.8567,-0.0398206,-0.0922597,0.594676,6.03363,-14.376,-1.47908,0,0,7.28798e-05,-0.423025,-15.91,-0.997732,-2.27393,11.6939,-89.4113,-200.619,410.914,104.032,372.918,372.918,372.918,-51.8821,-76.4481,-52.4431,-112.457,230.337,84.84,64.2399,64.2399,64.2399,-12.6839,12.2425,-88.4378,-143.565,343.413,881.917,173.755,173.755,173.755,6.48992,0,0,9.41548,6.67178,-46.2975,-0.0655991,-0.0243442,-0.0701951,-6.52332,1.66101e-15,2.78071,0,0,5.13123e-05,-71.6834,-4.64718,-30.0392,-306.876,12.423,788.013,359.067,359.067,359.067,108.288,54.8295,203.532,-293.421,115.218,490.666,187.129,187.129,187.129,-49.2494,14.1286,-24.3534,67.2721,-7.92347,49.023,0.351912,-1.03648,0.553596,-46.9608,151.691,-3.14208,0,0,0.16342,150.755,62.6315,88.4655,-0.283175,0.180228,0.232003,-43.0296,-22.973,2.78147,0,0,0.0495035,-0.423025,15.91,0.997732,44.9208,10.8445,-68.9354,-230.577,194.508,578.504,243.56,243.56,243.56,108.288,54.8296,203.532,-319.143,72.1691,453.571,62.3765,62.3765,62.3765
1760,0,7.13978,0,0,7.6893,7.98913,-21.733,-0.142382,-0.00298677,0.00484769,-13.2774,-1.04822e-15,-0.332212,0,0,0.00245798,21.2315,-26.8809,247.098,-136.217,367.437,513.639,353.583,353.583,353.583,-51.8648,-76.4867,-52.3993,-136.996,289.691,86.8886,192.72,192.72,192.72,-88.0317,1.57627,-22.5283,-4.11446,-3.61592,20.2995,0.0377067,-0.352817,1.54285,-24.7528,-93.5038,-1.3039,0,0,-0.034414,3.3278,-2.49479,-20.8113,-0.040693,-0.0926575,0.595173,5.90748,-14.4142,-1.50565,0,0,-1.97612e-05,-0.485449,-15.9867,-1.03873,-2.24161,11.7105,-89.3622,-200.689,410.904,103.946,372.97,372.97,372.97,-51.8648,-76.4867,-52.3993,-112.383,230.388,84.8505,64.2399,64.2399,64.2399,-12.7869,12.2585,-88.3999,-143.783,343.326,882.133,173.755,173.755,173.755,6.57477,0,0,9.50621,6.62856,-46.1091,-0.0633852,-0.0241636,-0.0690472,-6.20416,-7.38226e-16,2.78086,0,0,8.35245e-05,-72.0457,-4.72253,-29.9817,-306.927,11.6851,790.554,358.885,358.885,358.885,108.191,55.127,203.268,-292.97,113.897,493.113,187.129,187.129,187.129,-49.3956,14.2821,-24.3589,67.562,-7.9985,48.9704,0.356635,-1.02151,0.538689,-48.2672,146.56,-3.13426,0,0,0.153127,151.296,62.4597,88.7176,-0.276388,0.177849,0.225435,-42.6576,-22.5017,2.78971,0,0,0.0467065,-0.485449,15.9867,1.03873,44.8892,10.7738,-69.1208,-230.15,193.404,580.774,243.653,243.653,243.653,108.191,55.127,203.268,-318.697,70.7557,456.13,62.3765,62.3765,62.3765
1761,0,7.1902,0,0,7.7429,7.9858,-21.7193,-0.142323,-0.00310285,0.00449773,-13.2463,1.47645e-15,-0.378589,0,0,0.00225187,21.2177,-26.8246,247.209,-136.331,367.218,513.592,353.687,353.687,353.687,-51.8446,-76.5241,-52.358,-136.963,289.709,86.8668,192.72,192.72,192.72,-88.0577,1.56573,-22.5735,-4.14179,-3.71865,20.2209,0.0350887,-0.352895,1.54366,-23.6626,-94.4112,-1.29179,0,0,-0.0331873,3.36887,-2.46408,-20.768,-0.0425305,-0.0932416,0.595531,5.42787,-14.5653,-1.5436,0,0,-5.3769e-05,-0.546904,-16.0608,-1.07903,-2.20929,11.7245,-89.3085,-200.754,410.879,103.865,373.017,373.017,373.017,-51.8446,-76.5242,-52.358,-112.303,230.424,84.8564,64.2399,64.2399,64.2399,-12.8873,12.2733,-88.3629,-143.999,343.244,882.344,173.755,173.755,173.755,6.66091,0,0,9.60001,6.58785,-45.9304,-0.0609665,-0.0238541,-0.0672701,-5.86312,2.39924e-15,2.75823,0,0,0.000104446,-72.3946,-4.79586,-29.9243,-306.971,10.9823,793.008,358.714,358.714,358.714,108.103,55.4175,203.002,-292.533,112.618,495.479,187.129,187.129,187.129,-49.5428,14.4324,-24.3681,67.8407,-8.07031,48.9208,0.359099,-1.00359,0.522558,-48.9945,140.924,-3.17968,0,0,0.14217,151.813,62.296,88.9567,-0.268215,0.174124,0.217822,-42.0216,-21.8111,2.77422,0,0,0.0435878,-0.546904,16.0608,1.07903,44.8572,10.7029,-69.2988,-229.731,192.339,582.956,243.747,243.747,243.747,108.103,55.4175,203.002,-318.27,69.3847,458.61,62.3765,62.3765,62.3765
1762,0,7.23549,0,0,7.79076,7.98161,-21.7019,-0.142273,-0.00323074,0.003828,-13.2234,9.45852e-16,-0.437148,0,0,0.0020426,21.2082,-26.77,247.321,-136.452,366.999,513.548,353.789,353.789,353.789,-51.8215,-76.5605,-52.3195,-136.926,289.713,86.8434,192.72,192.72,192.72,-88.0808,1.554,-22.6185,-4.16748,-3.81723,20.1398,0.0316253,-0.353356,1.54512,-21.959,-95.6515,-1.27069,0,0,-0.0318486,3.40975,-2.43675,-20.7265,-0.0452547,-0.0939482,0.595928,4.63523,-14.8092,-1.59474,0,0,-4.24101e-05,-0.607394,-16.1323,-1.11871,-2.17699,11.7359,-89.2508,-200.815,410.839,103.789,373.057,373.057,373.057,-51.8215,-76.5605,-52.3195,-112.22,230.447,84.8575,64.2399,64.2399,64.2399,-12.985,12.2868,-88.3265,-144.214,343.166,882.549,173.755,173.755,173.755,6.74768,0,0,9.69586,6.5495,-45.761,-0.0585487,-0.0239173,-0.0658311,-5.52057,3.69113e-16,2.75927,0,0,9.37484e-05,-72.7298,-4.86827,-29.8678,-307.008,10.3127,795.369,358.554,358.554,358.554,108.022,55.6995,202.736,-292.112,111.382,497.757,187.129,187.129,187.129,-49.6901,14.5787,-24.3807,68.1078,-8.13846,48.8729,0.360139,-0.987371,0.50873,-49.0992,135.475,-3.4127,0,0,0.131168,152.305,62.1402,89.1792,-0.261941,0.170053,0.210352,-41.6839,-21.0819,2.78116,0,0,0.040663,-0.607394,16.1323,1.11871,44.8247,10.6327,-69.4697,-229.318,191.314,585.047,243.842,243.842,243.842,108.022,55.6995,202.736,-317.861,68.0577,461.003,62.3765,62.3764,62.3765
1763,0,7.27558,0,0,7.83285,7.9767,-21.6816,-0.142238,-0.0033423,0.00274847,-13.209,-8.52132e-16,-0.505286,0,0,0.00183372,21.2032,-26.7174,247.435,-136.578,366.779,513.505,353.889,353.889,353.889,-51.7955,-76.5956,-52.2842,-136.885,289.704,86.8182,192.72,192.72,192.72,-88.1007,1.54105,-22.6631,-4.19169,-3.91142,20.0569,0.0270122,-0.354322,1.54605,-19.5238,-97.2547,-1.2353,0,0,-0.0303926,3.45042,-2.41288,-20.6865,-0.0490135,-0.0947565,0.596177,3.48354,-15.1421,-1.65654,0,0,1.65663e-05,-0.66695,-16.201,-1.15781,-2.14478,11.7447,-89.1899,-200.872,410.785,103.717,373.093,373.093,373.093,-51.7955,-76.5955,-52.2842,-112.133,230.456,84.8535,64.2399,64.2399,64.2399,-13.0798,12.2987,-88.2909,-144.426,343.092,882.747,173.755,173.755,173.755,6.83445,0,0,9.79277,6.5134,-45.6006,-0.0560816,-0.0239787,-0.064239,-5.17337,-0,2.74966,0,0,7.33589e-05,-73.0506,-4.94071,-29.8133,-307.035,9.67504,797.635,358.406,358.406,358.406,107.951,55.9721,202.47,-291.707,110.189,499.943,187.129,187.129,187.129,-49.837,14.7199,-24.3965,68.3627,-8.20251,48.8254,0.35887,-0.969625,0.495364,-48.5493,129.7,-3.71088,0,0,0.119769,152.768,61.9919,89.3818,-0.255574,0.165198,0.202114,-41.2998,-20.25,2.77634,0,0,0.0376577,-0.66695,16.201,1.15781,44.7915,10.5641,-69.6337,-228.914,190.33,587.043,243.938,243.938,243.938,107.951,55.9721,202.47,-317.471,66.7765,463.304,62.3765,62.3764,62.3765
1764,0,7.31053,0,0,7.86929,7.97126,-21.6591,-0.142228,-0.00346448,0.00132306,-13.2036,2.78853e-15,-0.585751,0,0,0.00162847,21.2026,-26.6669,247.549,-136.709,366.56,513.466,353.985,353.985,353.985,-51.7669,-76.6292,-52.2522,-136.842,289.683,86.7913,192.72,192.72,192.72,-88.1174,1.52692,-22.7069,-4.21458,-4.00106,19.9726,0.0212158,-0.355507,1.54719,-16.4242,-99.1327,-1.19142,0,0,-0.0288202,3.49095,-2.39249,-20.6475,-0.0536582,-0.095639,0.596418,2.02129,-15.5562,-1.73175,0,0,0.000111795,-0.72559,-16.2669,-1.19641,-2.11268,11.7512,-89.1268,-200.925,410.719,103.65,373.124,373.124,373.124,-51.7669,-76.6292,-52.2522,-112.045,230.454,84.8445,64.2399,64.2399,64.2399,-13.1717,12.3092,-88.2558,-144.636,343.023,882.94,173.755,173.755,173.755,6.92051,0,0,9.88975,6.47945,-45.4489,-0.0536012,-0.0242387,-0.0625523,-4.82688,9.22783e-16,2.74877,0,0,3.74675e-05,-73.3562,-5.01395,-29.7615,-307.049,9.06841,799.799,358.271,358.271,358.271,107.889,56.2341,202.207,-291.317,109.042,502.03,187.129,187.129,187.129,-49.9824,14.8552,-24.4152,68.605,-8.26205,48.7774,0.355746,-0.951814,0.482808,-47.3883,123.977,-4.14363,0,0,0.108355,153.201,61.8511,89.562,-0.249776,0.159521,0.193975,-40.9762,-19.2984,2.779,0,0,0.0346425,-0.72559,16.2669,1.19641,44.7577,10.4977,-69.7908,-228.518,189.386,588.939,244.035,244.035,244.035,107.889,56.2341,202.207,-317.1,65.5429,465.508,62.3765,62.3765,62.3765
1765,0,7.34057,0,0,7.90033,7.96551,-21.6353,-0.142228,-0.00357311,-0.000355128,-13.2055,1.61487e-16,-0.67546,0,0,0.00142902,21.2064,-26.6186,247.663,-136.847,366.343,513.431,354.077,354.077,354.077,-51.736,-76.6612,-52.2239,-136.799,289.653,86.7627,192.72,192.72,192.72,-88.1309,1.51164,-22.7496,-4.23626,-4.08595,19.8878,0.0155658,-0.356724,1.5487,-13.0452,-101.158,-1.14297,0,0,-0.0271749,3.5314,-2.37551,-20.6089,-0.0587379,-0.0965725,0.596668,0.35716,-16.0303,-1.81718,0,0,0.000224663,-0.78328,-16.3299,-1.23455,-2.08075,11.7555,-89.0628,-200.975,410.644,103.588,373.152,373.152,373.152,-51.736,-76.6612,-52.2239,-111.957,230.442,84.8304,64.2399,64.2399,64.2399,-13.2607,12.3181,-88.2214,-144.843,342.958,883.125,173.755,173.755,173.755,7.00519,0,0,9.9858,6.44758,-45.3057,-0.0510914,-0.0246259,-0.0609907,-4.48147,9.22783e-16,2.75093,0,0,-7.1096e-06,-73.6462,-5.08851,-29.7131,-307.051,8.49208,801.858,358.147,358.147,358.147,107.836,56.4846,201.948,-290.944,107.941,504.015,187.129,187.129,187.129,-50.1258,14.9838,-24.4364,68.834,-8.31676,48.728,0.351126,-0.9345,0.471758,-45.6702,118.245,-4.65991,0,0,0.0969769,153.601,61.7179,89.718,-0.244814,0.15343,0.185333,-40.7627,-18.3154,2.78351,0,0,0.0317025,-0.78328,16.3299,1.23455,44.7232,10.4342,-69.9409,-228.132,188.483,590.731,244.131,244.131,244.131,107.836,56.4846,201.948,-316.749,64.3585,467.607,62.3765,62.3765,62.3765
1766,0,7.36594,0,0,7.92634,7.95972,-21.6113,-0.142292,-0.00367937,-0.00238734,-13.2196,2.70779e-15,-0.774612,0,0,0.0012375,21.2147,-26.5727,247.775,-136.991,366.129,513.4,354.163,354.163,354.163,-51.7032,-76.6914,-52.1994,-136.755,289.615,86.7324,192.72,192.72,192.72,-88.1412,1.49527,-22.7908,-4.2569,-4.16596,19.8033,0.00828576,-0.358221,1.55,-8.8587,-103.439,-1.08245,0,0,-0.0254002,3.57191,-2.36184,-20.5699,-0.064946,-0.0974936,0.596916,-1.63951,-16.5601,-1.91344,0,0,0.000377267,-0.840027,-16.3898,-1.27225,-2.04902,11.758,-88.9997,-201.022,410.562,103.531,373.177,373.177,373.177,-51.7032,-76.6914,-52.1994,-111.871,230.422,84.8113,64.2399,64.2399,64.2399,-13.3466,12.3254,-88.1875,-145.047,342.897,883.303,173.755,173.755,173.755,7.08783,0,0,10.0801,6.41773,-45.171,-0.048702,-0.0251966,-0.0595295,-4.15325,9.22783e-16,2.76224,0,0,-5.46836e-05,-73.9196,-5.1647,-29.6686,-307.039,7.94575,803.806,358.036,358.036,358.036,107.792,56.723,201.694,-290.589,106.889,505.891,187.129,187.129,187.129,-50.2664,15.1049,-24.4597,69.0492,-8.36635,48.6767,0.344205,-0.916938,0.461436,-43.2873,112.564,-5.29811,0,0,0.0856951,153.967,61.5925,89.8483,-0.240729,0.146678,0.176946,-40.6591,-17.2545,2.79613,0,0,0.0288117,-0.840027,16.3898,1.27225,44.688,10.374,-70.0839,-227.758,187.622,592.415,244.228,244.228,244.228,107.792,56.723,201.694,-316.416,63.2252,469.597,62.3765,62.3765,62.3765
1767,0,7.38701,0,0,7.94776,7.95419,-21.5884,-0.142383,-0.00376281,-0.00460254,-13.2421,-1.85133e-15,-0.879582,0,0,0.00105443,21.2273,-26.5292,247.887,-137.139,365.918,513.375,354.243,354.243,354.243,-51.669,-76.7197,-52.1792,-136.715,289.574,86.7007,192.72,192.72,192.72,-88.1484,1.47791,-22.8298,-4.27666,-4.24094,19.7201,0.000361841,-0.359624,1.5514,-4.30398,-105.747,-1.0181,0,0,-0.0235282,3.61259,-2.35128,-20.5296,-0.0715628,-0.0983111,0.597136,-3.79001,-17.1048,-2.0166,0,0,0.000547083,-0.895795,-16.4466,-1.30954,-2.01753,11.759,-88.9392,-201.068,410.477,103.479,373.202,373.202,373.202,-51.669,-76.7196,-52.1792,-111.79,230.397,84.7877,64.2399,64.2399,64.2399,-13.4294,12.331,-88.1541,-145.247,342.841,883.473,173.755,173.755,173.755,7.16788,0,0,10.1717,6.3899,-45.0448,-0.0462343,-0.0258293,-0.057924,-3.82576,3.69113e-16,2.77261,0,0,-0.00010146,-74.1758,-5.24261,-29.6283,-307.014,7.42939,805.638,357.937,357.937,357.937,107.758,56.9489,201.448,-290.252,105.887,507.653,187.129,187.129,187.129,-50.4035,15.2178,-24.4845,69.2499,-8.41061,48.6231,0.336312,-0.899489,0.452519,-40.5179,106.909,-5.98921,0,0,0.0746811,154.298,61.4753,89.9526,-0.236825,0.139423,0.168082,-40.545,-16.1306,2.80669,0,0,0.0259283,-0.895795,16.4466,1.30954,44.6521,10.3176,-70.2193,-227.397,186.804,593.987,244.323,244.323,244.323,107.758,56.949,201.448,-316.104,62.1449,471.471,62.3765,62.3765,62.3765
1768,0,7.40421,0,0,7.96515,7.94923,-21.5678,-0.142504,-0.00383888,-0.00686754,-13.273,2.39924e-15,-0.989657,0,0,0.00088047,21.2439,-26.4881,247.995,-137.292,365.712,513.356,354.315,354.315,354.315,-51.634,-76.7457,-52.1634,-136.679,289.531,86.6679,192.72,192.72,192.72,-88.1526,1.45967,-22.8661,-4.29565,-4.31078,19.6392,-0.007335,-0.360795,1.55263,0.284249,-107.965,-0.957208,0,0,-0.0215966,3.65361,-2.3436,-20.4871,-0.0781518,-0.0990207,0.597367,-5.9659,-17.6502,-2.12594,0,0,0.000723919,-0.950503,-16.5003,-1.3464,-1.98632,11.759,-88.8832,-201.113,410.393,103.432,373.225,373.225,373.225,-51.634,-76.7457,-52.1634,-111.716,230.37,84.7598,64.2399,64.2399,64.2399,-13.5089,12.3349,-88.1213,-145.443,342.788,883.634,173.755,173.755,173.755,7.24479,0,0,10.2602,6.3641,-44.9272,-0.0440609,-0.0265939,-0.0566242,-3.53575,7.38226e-16,2.78993,0,0,-0.000137613,-74.4141,-5.32212,-29.5924,-306.975,6.94324,807.348,357.849,357.849,357.849,107.733,57.162,201.21,-289.935,104.936,509.296,187.129,187.129,187.129,-50.5365,15.3221,-24.5104,69.4355,-8.44937,48.5672,0.326555,-0.882714,0.444784,-37.2456,101.502,-6.74899,0,0,0.0640903,154.593,61.3667,90.031,-0.233994,0.132008,0.159824,-40.5708,-15.0107,2.82366,0,0,0.0231548,-0.950503,16.5003,1.3464,44.6156,10.2653,-70.3467,-227.051,186.03,595.443,244.416,244.416,244.416,107.733,57.162,201.21,-315.812,61.1191,473.223,62.3765,62.3764,62.3765
1769,0,7.41805,0,0,7.97911,7.94516,-21.551,-0.142675,-0.00389205,-0.00924834,-13.3143,9.68922e-16,-1.10092,0,0,0.000715565,21.2643,-26.4494,248.099,-137.45,365.511,513.344,354.379,354.379,354.379,-51.5989,-76.7692,-52.1525,-136.649,289.49,86.6344,192.72,192.72,192.72,-88.154,1.44066,-22.899,-4.31395,-4.37539,19.5616,-0.0157154,-0.362,1.55399,5.24138,-110.187,-0.890385,0,0,-0.0195837,3.69515,-2.33851,-20.4414,-0.0852696,-0.0995824,0.597683,-8.26219,-18.1861,-2.23773,0,0,0.000930682,-1.00403,-16.5507,-1.38278,-1.95544,11.7585,-88.8338,-201.157,410.314,103.391,373.25,373.25,373.25,-51.5989,-76.7692,-52.1525,-111.653,230.343,84.7282,64.2399,64.2399,64.2399,-13.5851,12.3372,-88.089,-145.634,342.74,883.786,173.755,173.755,173.755,7.31811,0,0,10.3449,6.34035,-44.8186,-0.0417366,-0.0274144,-0.0551665,-3.24338,1.84557e-15,2.80791,0,0,-0.000167789,-74.6338,-5.40287,-29.561,-306.923,6.48784,808.933,357.772,357.772,357.772,107.717,57.3622,200.982,-289.638,104.038,510.815,187.129,187.129,187.129,-50.665,15.4174,-24.5369,69.6053,-8.4825,48.5092,0.316045,-0.866276,0.437894,-33.6731,96.1927,-7.56053,0,0,0.0539612,154.853,61.2672,90.0843,-0.231407,0.124152,0.151149,-40.5927,-13.8343,2.84028,0,0,0.0204023,-1.00403,16.5507,1.38278,44.5784,10.2171,-70.4654,-226.723,185.302,596.779,244.506,244.506,244.506,107.717,57.3622,200.982,-315.542,60.1496,474.848,62.3765,62.3764,62.3765
